LA,ESTAB,URN,PERCTOT,PPERSABS10
205,3648,100357,5.7,18.9
205,3649,134009,4.3,6.4
205,3650,134273,8,24.7
205,4000,136750,6.9,18.8
205,4001,141135,7.8,27.5
205,4002,141617,6.6,16
205,4004,143129,6.9,19.3
205,4106,139364,9.9,32.1
205,4315,139365,9,27.1
205,4620,137935,7.3,19.9
205,4632,138607,5.9,13
205,5400,137157,6.6,19.4
205,6905,131752,7.3,19.5
205,6906,136172,8.4,31.2
205,7014,147793,12.8,38
205,7153,100379,12.4,33
205,7203,100381,16.2,62.1
205,7204,100382,15.1,47.9
205,7206,135175,7.7,20.4
206,2000,140495,6.9,19.5
206,2001,143020,3.6,3.8
206,2003,145731,8.6,29.2
206,2015,100397,3.5,8.1
206,2166,100402,5.1,13.1
206,2170,100403,7.4,25.4
206,2251,100405,3,3.3
206,2261,100406,5.8,16
206,2279,100407,5.5,17.8
206,2282,100408,6.8,22.2
206,2379,100411,8.8,29.3
206,2429,100415,7.7,25.2
206,2455,100418,5.9,17.6
206,2515,100422,6.5,20.6
206,2596,100425,5.5,15.7
206,2624,100426,6.6,20.6
206,2643,137566,3.4,6.2
206,2646,100428,6.3,19.4
206,2666,100429,3.9,8.3
206,2803,100430,7.4,27
206,2805,100431,6.7,24.2
206,2809,100432,6.3,17.7
206,2850,100434,8.7,28.4
206,2852,131218,6.1,20.2
206,2853,131325,5.7,16
206,2854,131773,6,19.2
206,2855,131842,6.2,17.7
206,2856,131741,7,22.9
206,2857,131740,7.3,25.7
206,3384,100437,6.5,20.6
206,3456,100438,7.4,23.2
206,3465,100439,5.6,16.5
206,3471,100440,4.3,7.7
206,3483,100441,4.9,11.1
206,3488,100442,10.5,33.1
206,3495,100443,6.2,19.8
206,3501,100444,7.7,23.8
206,3527,100446,9.1,31.8
206,3575,100447,6.9,25
206,3606,100448,6.8,23.6
206,3631,100449,4.4,10
206,3633,100450,6.2,14.9
206,3643,100451,7.5,20.8
206,3644,137393,8.2,34.4
206,4001,143659,7.5,20.4
206,4003,144962,10.3,28.5
206,4112,100453,11,34.7
206,4307,100455,9,26.6
206,4324,100457,8.9,25.7
206,4325,131690,13.3,45.5
206,4614,100458,6.6,17.6
206,4651,100459,4.2,8.4
206,6905,134314,7.3,20.5
206,6906,135587,10.8,31
206,7000,139418,13.1,44.8
206,7001,141605,10.1,35.7
206,7002,143702,18.5,57.1
206,7030,100467,16,59.6
206,7031,143217,13.8,38.2
206,7146,100469,10.5,34.5
207,2000,139645,5.4,14
207,2001,140213,6.4,16.8
207,2021,100477,8.7,28.8
207,2030,100478,7.6,26.9
207,2050,100479,5.3,13.8
207,2060,100480,5.3,10.9
207,2121,100481,4.7,10
207,2229,100482,4.1,8.6
207,2399,100483,5.7,15.1
207,2452,100485,8.4,25.7
207,2456,100486,5.3,11.5
207,2538,100487,8.3,28.7
207,2594,100488,3.1,4.8
207,3321,100489,3,3.9
207,3356,100490,6.1,19.6
207,3379,100491,4.9,9.3
207,3402,100492,6.9,20.5
207,3417,100493,4.4,8
207,3437,100494,5.7,14.9
207,3455,100495,8.1,29.1
207,3477,148438,3.7,2.9
207,3504,100497,4.8,15.6
207,3541,100498,8.8,35.8
207,3542,100499,7.4,25.9
207,3613,100500,6.1,15.3
207,4000,140212,8,21.1
207,4001,149632,7.6,21.6
207,4681,100502,9.4,30.4
207,4801,100503,9.2,27
207,5200,100504,4.9,10.1
207,5201,100505,6.7,21.4
207,5402,141931,5.2,10.6
207,6905,135531,8.3,23.6
207,7000,148562,11.5,37.5
207,7164,141957,9.3,28.6
208,2001,146368,4.3,8.6
208,2022,100556,6.2,17.2
208,2115,100560,5.9,18.5
208,2265,100564,5,12.8
208,2292,100566,7.3,23.1
208,2295,100567,5,11.1
208,2331,100572,5.3,17.3
208,2332,137430,4.8,11.5
208,2359,100574,6.4,22
208,2371,100576,5.2,13.7
208,2459,100577,4.3,11.1
208,2504,100578,7.5,26
208,2575,100584,5.9,15.1
208,2578,100585,5.6,17.8
208,2591,100586,4.6,8.1
208,2617,100588,7.3,23.7
208,2626,100589,4,8.2
208,2657,100590,6,16.1
208,2664,100591,7.7,26.6
208,2783,100593,7.2,26.7
208,2785,100595,7.3,24
208,2794,100597,6.3,17
208,2808,100598,6,19.6
208,2836,100601,5.6,15.9
208,2868,100604,5.9,18.4
208,2895,149556,5,13.3
208,2897,131247,5.3,13.2
208,2898,131340,6.5,21.6
208,2899,144308,4.8,11.2
208,2900,131824,4.2,7.6
208,2901,131874,7.6,26.3
208,2902,100582,4.9,11.2
208,2903,133315,5,18.9
208,2905,133584,6.6,22
208,3000,133662,9.2,29.2
208,3307,100609,5.9,18
208,3324,100610,5.9,19.2
208,3329,145614,5.2,13.5
208,3375,100612,5.2,13.7
208,3403,100613,5.3,16.7
208,3457,100614,6.2,20.2
208,3466,100615,7.1,26.1
208,3491,100616,5.8,17.4
208,3493,145615,6.4,19.7
208,3499,145616,7.2,24.7
208,3502,100619,6.6,25
208,3589,100620,4.5,6.1
208,3596,100621,6.8,25.1
208,3621,100622,5.7,18.8
208,3641,100623,5.4,16.1
208,3642,134507,5.7,17.7
208,3643,135614,6,19.7
208,4000,139659,6.3,17
208,4003,140966,9.9,32.4
208,4007,147543,7.7,24.1
208,4223,100624,7.7,20.5
208,4321,100625,6.8,18
208,4322,136450,8.6,29.1
208,4509,100627,7.6,22.2
208,4731,144309,11.7,37.1
208,5200,100628,6.6,23.4
208,5201,100629,4.1,9.9
208,5202,137295,2.5,2.2
208,5203,100631,9,28.1
208,5204,100632,4.4,8.9
208,5205,100633,4.8,10
208,5206,100634,4.9,8.6
208,5208,100636,4.4,10.3
208,5209,100602,4.7,12.5
208,5400,100637,6.6,19
208,5401,100638,3.8,5.7
208,5402,137093,7.9,24
208,5404,137966,11.1,37.4
208,5405,100642,10.6,33.5
208,5950,100643,8.7,23.4
208,6905,134815,7.5,22.7
208,6906,135389,10.2,33.5
208,6907,137954,8.7,28.8
208,7000,142928,16.3,36.8
208,7001,100654,9.1,31.7
208,7002,149331,13.7,37
208,7115,100659,7.8,20.8
208,7194,133440,10.6,36.5
209,2000,100671,4.4,11.9
209,2001,139672,3.3,4.2
209,2002,142456,4.8,10.8
209,2004,146100,4.1,12.5
209,2005,147355,3.7,6.6
209,2006,147363,4.6,8
209,2023,100672,7.9,29
209,2029,100673,5,11.9
209,2068,100674,5,14.5
209,2108,146221,6.4,16.6
209,2127,100676,5,11.6
209,2148,100677,5.6,16.1
209,2158,100678,4.9,14.5
209,2163,100679,5,12.6
209,2187,100680,4.3,6.9
209,2197,100681,8.2,27.5
209,2225,100683,5.7,16.8
209,2259,100684,3.8,8.4
209,2267,100685,4.6,13.3
209,2289,100686,5.4,15.5
209,2304,100687,4.5,10.3
209,2307,100688,4.9,12.3
209,2342,100689,4.2,9.7
209,2347,100690,6.6,22.7
209,2349,100691,7.5,26.5
209,2374,100692,5.8,15.3
209,2381,100693,3.8,7.4
209,2390,100695,6.3,20.3
209,2403,100696,6.7,24.1
209,2491,100699,7.7,28
209,2493,100700,3.5,6
209,2529,100701,6.3,18
209,2536,100703,4,8.5
